dataset,mode,TW,dyn_stw,speculative,csr_compress,Chip Area,Chip ADC Area,Chip IC Area,Chip Accum Area,Chip Other Area,Chip Popcnt Area,Chip Array Area,Pipelined Clock Latency,Total Read Latency,Total Buffer Latency,Total IC Latency,Total Core Latency ADC,Total Core Latency Accum,Total Core Latency Other,Total Array Read Latency,Total Array Latency ADC,Total Array Latency Accum,Total Array Latency Other,Total Read Latency Buffer,Total Read Latency IC,Total Read Dynamic Energy,Total Buffer Dynamic Energy,Total IC Dynamic Energy,Total Core Energy ADC,Total Core Energy Accum,Total Core Energy Other,Total Core Energy Popcnt,Total Leakage Energy,Total Array Read Dynamic Energy,Total Array Energy ADC,Total Array Energy Accum,Total Array Energy Other,Total Array Energy Popcnt,Total Read Dynamic Energy Buffer,Total Read Dynamic Energy IC,Energy Efficiency TOPS/W,Throughput TOPS,Throughput FPS,Compute Efficiency TOPS/mm\^2
IMAGENET,ComPASS,16,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.13e+07,1.90e+08,1.80e+08,4.71e+04,6.61e+04,8.21e+06,1.21e+06,7.83e+06,6.61e+04,7.76e+06,0.00e+00,1.81e+08,9.42e+04,1.74e+09,1.60e+07,1.74e+07,6.83e+06,1.67e+09,4.79e+06,2.31e+07,1.78e+09,1.70e+09,6.83e+06,1.67e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,102.78569837118623,20.630910427180847,46.96304904757196,0.14160261509688987
IMAGENET,PTB,48,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,4.28e+07,3.29e+08,1.80e+08,4.71e+04,6.61e+04,1.47e+08,1.21e+06,1.47e+08,6.61e+04,1.47e+08,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,3.58e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,59.77605616911614,10.275759436756609,23.391163280591794,0.0709102652972315
CIFAR10DVS,ComPASS,16,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.36e+07,6.73e+07,5.66e+07,1.98e+04,8.85e+04,7.74e+06,2.83e+06,7.76e+06,8.85e+04,7.67e+06,0.00e+00,5.67e+07,3.97e+04,9.10e+08,4.35e+06,1.50e+07,3.52e+06,8.69e+08,8.87e+06,9.33e+06,1.89e+09,8.80e+08,3.52e+06,8.67e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.086047137918115,3.1121110014101188,18.642726922500977,0.08430085219987235
IMAGENET,PTB,1,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,2.07e+07,1.85e+08,1.80e+08,4.71e+04,6.61e+04,3.63e+06,1.21e+06,3.25e+06,6.61e+04,3.18e+06,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,1.73e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,86.30312048221109,21.266669588824016,48.41025559699088,0.1467555942520256
DVS128GestureSimplify,ComPASS,48,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.22e+07,6.36e+07,5.66e+07,1.98e+04,8.85e+04,4.04e+06,2.83e+06,4.06e+06,8.85e+04,3.97e+06,0.00e+00,5.67e+07,3.97e+04,4.13e+08,4.35e+06,1.50e+07,3.52e+06,3.72e+08,8.87e+06,9.33e+06,1.84e+09,3.83e+08,3.52e+06,3.70e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,61.066005860519844,3.1976995394234358,19.155423022723937,0.08661927422588446
DVS128GestureSimplify,PTB,16,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,6.07e+07,1.20e+08,5.66e+07,1.98e+04,8.85e+04,6.00e+07,2.83e+06,6.01e+07,8.85e+04,6.00e+07,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,2.14e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,43.8743957411993,2.749725633974221,16.471890828336257,0.07484340325195561
IMAGENET,PTB,100,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,6.90e+07,5.00e+08,1.80e+08,4.71e+04,6.61e+04,3.18e+08,1.21e+06,3.18e+08,6.61e+04,3.18e+08,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,5.78e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,43.77796542670039,6.364880799622025,14.48865818256785,0.04392233867134107
CIFAR10DVS,ComPASS,0,True,True,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.36e+07,6.59e+07,5.66e+07,1.98e+04,8.85e+04,6.37e+06,2.83e+06,6.39e+06,8.85e+04,6.30e+06,0.00e+00,5.67e+07,3.97e+04,7.69e+08,4.35e+06,1.50e+07,3.52e+06,7.37e+08,8.87e+06,9.33e+06,1.89e+09,7.39e+08,3.52e+06,7.35e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,51.70718058261682,3.1127407665978537,18.646499455169288,0.08431791127713142
CIFAR10DVS,ComPASS,24,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.37e+07,6.73e+07,5.66e+07,1.98e+04,8.85e+04,7.79e+06,2.83e+06,7.81e+06,8.85e+04,7.72e+06,0.00e+00,5.67e+07,3.97e+04,8.98e+08,4.35e+06,1.50e+07,3.52e+06,8.57e+08,8.87e+06,9.33e+06,1.89e+09,8.68e+08,3.52e+06,8.55e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.26647515391301,3.1091939541869995,18.625252701698436,0.08422183523463403
DVS128GestureSimplify,PTB,24,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,6.53e+07,1.49e+08,5.66e+07,1.98e+04,8.85e+04,8.97e+07,2.83e+06,8.97e+07,8.85e+04,8.96e+07,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,2.30e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,41.71342114947212,2.556893336101755,15.316752832207637,0.06959479762696055
IMAGENET,ComPASS,0,True,False,True,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,1.94e+07,1.11e+08,9.82e+07,1.30e+04,6.61e+04,1.23e+07,1.21e+06,1.20e+07,6.61e+04,1.19e+07,0.00e+00,9.83e+07,2.59e+04,2.44e+09,8.51e+06,4.00e+06,6.83e+06,2.44e+09,4.79e+06,2.31e+07,1.62e+09,2.44e+09,6.83e+06,2.43e+09,0.00e+00,2.31e+07,9.81e+06,1.01e+07,88.81262275710017,22.69265203291349,51.656282169551666,0.15575361459137493
IMAGENET,ComPASS,100,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.12e+07,1.89e+08,1.80e+08,4.71e+04,6.61e+04,7.53e+06,1.21e+06,7.15e+06,6.61e+04,7.08e+06,0.00e+00,1.81e+08,9.42e+04,1.54e+09,1.60e+07,1.74e+07,6.83e+06,1.47e+09,4.79e+06,2.31e+07,1.77e+09,1.50e+09,6.83e+06,1.47e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,109.40693465698432,20.765271631057583,47.268901367081845,0.14252481859845934
DVS128GestureSimplify,ComPASS,8,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.24e+07,6.53e+07,5.66e+07,1.98e+04,8.85e+04,5.80e+06,2.83e+06,5.82e+06,8.85e+04,5.73e+06,0.00e+00,5.67e+07,3.97e+04,5.81e+08,4.35e+06,1.50e+07,3.52e+06,5.40e+08,8.87e+06,9.33e+06,1.85e+09,5.51e+08,3.52e+06,5.38e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,56.684567330257785,3.18817544246604,19.09837009955866,0.0863612855199614
DVS128GestureSimplify,ComPASS,100,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.22e+07,6.35e+07,5.66e+07,1.98e+04,8.85e+04,3.97e+06,2.83e+06,3.99e+06,8.85e+04,3.90e+06,0.00e+00,5.67e+07,3.97e+04,4.08e+08,4.35e+06,1.50e+07,3.52e+06,3.67e+08,8.87e+06,9.33e+06,1.84e+09,3.78e+08,3.52e+06,3.65e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,61.240779830594214,3.1994715436368586,19.16603799448338,0.08666727426997851
CIFAR10DVS,ComPASS,48,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.37e+07,6.72e+07,5.66e+07,1.98e+04,8.85e+04,7.69e+06,2.83e+06,7.71e+06,8.85e+04,7.62e+06,0.00e+00,5.67e+07,3.97e+04,8.74e+08,4.35e+06,1.50e+07,3.52e+06,8.33e+08,8.87e+06,9.33e+06,1.90e+09,8.43e+08,3.52e+06,8.30e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.67495092361989,3.1066993033158616,18.61030879547641,0.08415426014033862
